lat,lng,city,state_id
39.4768,-80.1491,Fairmont,WV
37.3688,-81.0961,Princeton,WV
37.2608,-81.2143,Bluefield,WV
38.4351,-81.7706,Cross_Lanes,WV
39.4394,-78.9822,Keyser,WV
38.3484,-81.6323,Charleston,WV
39.3238,-81.5383,Vienna,WV
39.4582,-77.9776,Martinsburg,WV
38.3769,-81.8198,St._Albans,WV
39.6636,-80.8569,New_Martinsville,WV
39.9221,-80.7422,Moundsville,WV
38.3688,-81.7345,Dunbar,WV
38.4154,-82.3188,Pea_Ridge,WV
39.3036,-80.2477,Bridgeport,WV
37.7877,-81.184,Beckley,WV
39.325,-77.8667,Ranson,WV
37.8509,-81.9857,Logan,WV
37.8096,-80.4327,Lewisburg,WV
39.2745,-77.8632,Charles_Town,WV
38.3482,-81.711,South_Charleston,WV
40.0751,-80.6951,Wheeling,WV
39.6379,-79.9468,Morgantown,WV
38.4482,-81.9239,Teays_Valley,WV
39.2863,-80.323,Clarksburg,WV
38.9927,-80.2282,Buckhannon,WV
39.6062,-79.8812,Brookhaven,WV
39.6672,-79.8565,Cheat_Lake,WV
37.9844,-81.1277,Oak_Hill,WV
38.8529,-82.1303,Point_Pleasant,WV
38.4109,-82.4344,Huntington,WV
38.4119,-81.8194,Nitro,WV
40.406,-80.5671,Weirton,WV
39.2624,-81.5419,Parkersburg,WV
39.4318,-77.8048,Shepherdstown,WV
38.9237,-79.8541,Elkins,WV
39.341,-80.0161,Grafton,WV
38.4294,-82.0169,Hurricane,WV
21.3892,-158.1445,Nanakuli,HI
21.3344,-158.0262,Ewa_Gentry,HI
21.3591,-158.0813,Makakilo,HI
21.4936,-158.0617,Schofield_Barracks,HI
21.3418,-158.039,Ewa_Villages,HI
21.3858,-158.0103,Waipahu,HI
20.8715,-156.4603,Kahului,HI
21.4031,-157.9566,Pearl_City,HI
21.4379,-157.8404,Ahuimanu,HI
21.9159,-159.5236,Kalaheo,HI
20.9156,-156.3022,Haiku-Pauwela,HI
21.4465,-158.0147,Mililani_Town,HI
21.3754,-157.9185,Halawa,HI
20.8848,-156.6618,Lahaina,HI
21.6443,-157.928,Laie,HI
19.6886,-155.0864,Hilo,HI
19.5423,-154.9223,Hawaiian_Beaches,HI
20.0124,-155.6378,Waimea,HI
22.091,-159.352,Kapaa,HI
21.4451,-157.7515,Kaneohe_Station,HI
21.3294,-157.846,Honolulu,HI
20.6873,-156.4291,Wailea,HI
21.3913,-157.9345,Waimalu,HI
21.3403,-158.0665,Kapolei,HI
21.3181,-158.0073,Ewa_Beach,HI
21.9728,-159.3541,Lihue,HI
21.4569,-158.1759,Waianae,HI
21.4025,-158.0058,Waikele,HI
